Customer_ID,Customer_Name,Plan,Signup_Date,First_Charge_Date,Cancel_Date,Channel
1234,John,Streaming,12/25/2013,1/23/2014,3/29/2014,PPC
2345,Jane,Mail,12/23/2013,NULL,NULL,SEO
3456,Sam,Both,12/24/2013,NULL,NULL,Direct
4567,Kristal,Both,12/25/2013,1/24/2014,NULL,Direct
5678,Erin,Streaming,12/24/2013,1/23/2014,NULL,PPC
6789,Alex,Streaming,12/25/2013,NULL,NULL,SEO
7890,Brian,Both,12/26/2013,NULL,NULL,Direct
1122,Jeremy,Streaming,12/28/2013,1/27/2014,NULL,Direct
2233,Brianna,Mail,12/24/2013,NULL,NULL,PPC
3344,Kelly,Both,12/25/2013,1/27/2014,2/28/2014,PPC
4455,Sean,Streaming,12/21/2013,1/19/2014,1/22/2014,Direct
5566,Kim,Mail,12/27/2013,NULL,NULL,SEO
6677,Chris,Both,12/22/2013,1/26/2014,NULL,Direct
9900,Jessica,Streaming,12/25/2013,NULL,NULL,SEO
1112,Hector,Mail,12/21/2013,1/19/2014,3/25/2014,SEO
2223,Mary,Both,12/29/2013,1/29/2014,5/4/2014,Direct
3334,Catherine,Mail,12/19/2013,NULL,NULL,PPC
4445,Billy,Streaming,12/20/2013,1/19/2014,NULL,PPC
